time,temperature,wave_height_sig,wave_period_max,wave_height_max,wave_spread_average,sea_surface_wave_mean_period
2023-10-01T00:23:00Z,17,0.28,10.66,0.47,36,4.44
2023-10-01T01:23:00Z,17,0.27,10.23,0.47,36,4.32
2023-10-01T02:23:00Z,16,0.27,10.66,0.4,35,4.36
2023-10-01T03:23:00Z,16,0.29,8.53,0.5,34,4.16
2023-10-01T04:23:00Z,16,0.34,2.63,0.6,38,3.38
2023-10-01T05:23:00Z,16,0.39,2.61,0.7,35,3.4
2023-10-01T06:23:00Z,15,0.38,2.87,0.69,35,3.35
2023-10-01T07:23:00Z,16,0.33,3.36,0.57,43,3.67
2023-10-01T08:23:00Z,15,0.37,2.84,0.64,34,3.49
2023-10-01T09:23:00Z,15,0.36,3.01,0.67,40,3.5
2023-10-01T10:23:00Z,14,0.36,3.5,0.66,34,3.63
2023-10-01T11:23:00Z,14,0.42,3.71,0.73,34,3.66
2023-10-01T12:23:00Z,15,0.38,9.14,0.68,38,3.71
2023-10-01T13:23:00Z,21,0.43,5.22,0.73,40,3.78
2023-10-01T14:23:00Z,23,0.45,9.48,0.8,36,4.29
2023-10-01T15:23:00Z,26,0.46,8.25,0.77,34,4.38
2023-10-01T16:23:00Z,25,0.52,7.75,0.84,34,4.78
2023-10-01T17:23:00Z,25,0.53,9.84,0.92,35,5.09
2023-10-01T18:23:00Z,25,0.53,7.52,0.93,34,4.74
2023-10-01T19:23:00Z,22,0.54,8.53,0.91,34,4.81
2023-10-01T20:23:00Z,21,0.54,8.82,0.92,34,5.24
2023-10-01T21:23:00Z,18,0.48,9.84,0.89,34,5.01
2023-10-01T22:23:00Z,16,0.52,9.84,0.85,34,5.12
2023-10-01T23:23:00Z,16,0.48,9.48,0.84,36,4.67
2023-10-02T00:23:00Z,16,0.52,8.82,0.9,35,4.81
2023-10-02T01:23:00Z,16,0.54,9.84,0.96,35,5.12
2023-10-02T03:23:00Z,15,0.56,9.48,0.91,35,5.79
2023-10-02T04:23:00Z,16,0.56,7.75,0.87,34,5.71
2023-10-02T05:23:00Z,16,0.54,9.48,0.98,35,5.94
2023-10-02T06:23:00Z,16,0.56,8.53,0.89,34,6.34
2023-10-02T07:23:00Z,16,0.51,10.66,0.84,34,6.12
2023-10-02T08:23:00Z,16,0.43,7.75,0.73,34,5.39
2023-10-02T09:23:00Z,16,0.43,8,0.7,34,5.7
2023-10-02T10:23:00Z,16,0.46,7.75,0.78,35,4.9
2023-10-02T11:23:00Z,18,0,16,0,33,11.96
2023-10-02T12:23:00Z,20,0.46,9.14,0.78,35,3.72
2023-10-02T13:23:00Z,23,0.44,8.82,0.73,35,3.75
2023-10-02T14:23:00Z,26,0.4,9.48,0.66,36,4
2023-10-02T15:23:00Z,27,0.41,7.75,0.75,35,3.84
2023-10-02T16:23:00Z,28,0.44,8.82,0.78,35,4.22
2023-10-02T17:23:00Z,29,0.39,7.52,0.66,35,5.31
2023-10-02T18:23:00Z,29,0.38,8,0.64,34,5.31
2023-10-02T19:23:00Z,27,0.39,8.53,0.67,34,5.62
2023-10-02T20:23:00Z,26,0.4,8.25,0.65,35,5.58
2023-10-02T21:23:00Z,24,0.41,9.14,0.67,34,5.61
2023-10-02T22:23:00Z,20,0.45,8.53,0.81,34,4.49
2023-10-02T23:23:00Z,19,0.45,8,0.85,36,4.23
2023-10-03T00:23:00Z,18,0.42,8.82,0.72,34,5.4
2023-10-03T01:23:00Z,17,0.49,9.48,0.79,35,5.29
2023-10-03T02:23:00Z,17,0.45,8.82,0.83,35,5.37
2023-10-03T03:23:00Z,16,0.44,8,0.69,35,5.64
2023-10-03T04:23:00Z,15,0.49,9.14,0.88,35,5.99
2023-10-03T05:23:00Z,15,0.53,8.25,0.9,34,5.8
2023-10-03T06:23:00Z,15,0.48,10.23,0.82,35,5.59
2023-10-03T07:23:00Z,15,0.4,9.14,0.61,34,5.82
2023-10-03T08:23:00Z,15,0.37,8.25,0.59,34,5.89
2023-10-03T09:23:00Z,15,0.4,8.82,0.69,34,5.49
2023-10-03T10:23:00Z,16,0.37,12.8,0.6,34,5.2
2023-10-03T11:23:00Z,21,0.36,8.82,0.58,35,5.51
2023-10-03T12:23:00Z,24,0.38,8.82,0.64,35,5.65
2023-10-03T13:23:00Z,27,0.43,8.82,0.77,35,4.97
2023-10-03T14:23:00Z,28,0.45,8.53,0.76,36,5.04
2023-10-03T15:23:00Z,31,0.48,8.25,0.81,34,5.59
2023-10-03T16:23:00Z,32,0.46,6.56,0.78,35,5.79
2023-10-03T17:23:00Z,34,0.43,6.56,0.69,34,5.23
2023-10-03T18:23:00Z,31,0.38,7.11,0.6,36,5.5
2023-10-03T19:23:00Z,31,0.38,8.25,0.7,34,5
2023-10-03T20:23:00Z,29,0.38,12.19,0.6,34,5.25
2023-10-03T21:23:00Z,25,0.36,12.19,0.59,35,5.04
2023-10-03T22:23:00Z,23,0.32,11.63,0.54,34,5
2023-10-03T23:23:00Z,21,0.27,8.82,0.44,34,5.13
2023-10-04T00:23:00Z,20,0.28,10.66,0.46,35,5.28
2023-10-04T01:23:00Z,20,0.38,11.63,0.71,36,5.16
2023-10-04T02:23:00Z,19,0.33,9.14,0.58,36,3.64
2023-10-04T03:23:00Z,18,0.41,12.19,0.77,36,4.06
2023-10-04T04:23:00Z,17,0.36,9.84,0.61,35,4.79
2023-10-04T05:23:00Z,17,0.41,11.13,0.66,34,5.38
2023-10-04T06:23:00Z,16,0.34,11.13,0.54,34,5.68
2023-10-04T07:23:00Z,16,0.38,7.31,0.61,35,5.61
2023-10-04T08:23:00Z,16,0.3,7.52,0.5,35,5.3
2023-10-04T09:23:00Z,15,0.34,11.13,0.56,36,4.81
2023-10-04T10:23:00Z,15,0.35,11.63,0.6,34,4.54
2023-10-04T11:23:00Z,15,0.32,11.13,0.55,34,5.03
2023-10-04T12:23:00Z,16,0.25,10.23,0.42,35,5.12
2023-10-04T13:23:00Z,19,0.25,11.13,0.45,36,4.81
2023-10-04T14:23:00Z,26,0.26,11.13,0.47,36,4.42
2023-10-04T15:23:00Z,27,0.31,9.48,0.5,35,4.48
2023-10-04T16:23:00Z,25,0.33,9.48,0.55,36,4.07
2023-10-04T18:23:00Z,24,0.3,9.48,0.5,36,4.61
2023-10-04T19:23:00Z,23,0.34,10.23,0.6,35,3.7
2023-10-04T20:23:00Z,22,0.32,9.84,0.56,37,3.53
2023-10-04T21:23:00Z,20,0.3,9.84,0.54,34,4.52
2023-10-04T22:23:00Z,16,0.26,10.66,0.42,35,4.04
2023-10-04T23:23:00Z,16,0.27,8.82,0.46,34,4.39
2023-10-05T00:23:00Z,17,0.26,9.48,0.51,35,4.16
2023-10-05T01:23:00Z,17,0.3,9.48,0.53,35,4.42
2023-10-05T02:23:00Z,17,0.25,9.48,0.42,35,4.26
2023-10-05T03:23:00Z,17,0.29,9.84,0.49,36,4.47
2023-10-05T04:23:00Z,17,0.28,9.84,0.49,36,4.32
2023-10-05T05:23:00Z,18,0.3,9.84,0.46,37,4.78
2023-10-05T06:23:00Z,18,0.25,10.23,0.42,35,4.6
2023-10-05T07:23:00Z,18,0.25,9.84,0.41,35,4.67
2023-10-05T08:23:00Z,18,0.31,9.48,0.53,35,4.07
2023-10-05T09:23:00Z,18,0.27,9.84,0.46,35,4.44
2023-10-05T10:23:00Z,18,0.28,8.53,0.46,35,3.92
2023-10-05T11:23:00Z,18,0.28,9.84,0.5,35,4.27
2023-10-05T12:23:00Z,19,0.28,8.82,0.51,34,3.99
2023-10-05T13:23:00Z,20,0.27,9.48,0.45,35,4.42
2023-10-05T14:23:00Z,21,0.28,8.53,0.56,35,3.91
2023-10-05T15:23:00Z,23,0.3,9.84,0.51,36,5.06
2023-10-05T16:23:00Z,24,0.27,9.48,0.44,39,4.26
2023-10-05T17:23:00Z,24,0.33,10.23,0.53,35,4.2
2023-10-05T18:23:00Z,24,0.3,10.23,0.52,38,3.75
2023-10-05T19:23:00Z,23,0.32,8,0.58,36,3.56
2023-10-05T20:23:00Z,24,0.33,10.23,0.56,35,3.45
2023-10-05T21:23:00Z,20,0.35,8.53,0.64,35,3.9
2023-10-05T22:23:00Z,18,0.34,4.19,0.62,37,3.55
2023-10-05T23:23:00Z,18,0.28,10.66,0.49,35,3.81
2023-10-06T00:23:00Z,18,0.27,9.14,0.47,34,3.89
2023-10-06T01:23:00Z,17,0,17.06,0,33,13.12
2023-10-06T01:23:00Z,17,0,17.06,0,33,13.12
2023-10-06T02:23:00Z,17,0.28,9.84,0.49,35,3.73
2023-10-06T03:23:00Z,17,0.33,10.66,0.55,38,3.98
2023-10-06T04:23:00Z,17,0.31,10.66,0.53,36,3.87
2023-10-06T05:23:00Z,17,0.31,9.48,0.56,35,3.91
2023-10-06T06:23:00Z,17,0.33,10.23,0.56,34,3.97
2023-10-06T07:23:00Z,18,0.31,10.23,0.54,34,4.27
2023-10-06T08:23:00Z,17,0.29,8.53,0.51,35,4.3
2023-10-06T09:23:00Z,17,0.28,8.82,0.46,35,4.16
2023-10-06T10:23:00Z,17,0.31,10.23,0.52,34,3.99
2023-10-06T11:23:00Z,18,0.28,8.53,0.5,34,4.09
2023-10-06T12:23:00Z,22,0.28,11.63,0.47,36,4.23
2023-10-06T13:23:00Z,26,0.28,8.82,0.48,34,4.25
2023-10-06T14:23:00Z,26,0.29,8.25,0.54,36,4.13
2023-10-06T15:23:00Z,27,0.3,11.63,0.53,34,4.42
2023-10-06T16:23:00Z,28,0.32,9.48,0.58,36,4.29
2023-10-06T17:23:00Z,27,0.34,15.05,0.6,38,4.05
2023-10-06T18:23:00Z,27,0.3,8.53,0.54,37,3.9
2023-10-06T19:23:00Z,25,0.26,11.63,0.46,35,4.36
2023-10-06T20:23:00Z,24,0.32,4.06,0.52,36,3.95
2023-10-06T22:23:00Z,19,0.28,11.63,0.5,34,3.88
2023-10-06T23:23:00Z,18,0.3,8.25,0.51,35,3.82
2023-10-07T00:23:00Z,18,0.29,10.23,0.56,36,3.57
2023-10-07T01:23:00Z,18,0.25,9.48,0.44,34,3.93
2023-10-07T02:23:00Z,18,0.26,10.66,0.46,36,4.09
2023-10-07T03:23:00Z,17,0.31,10.66,0.58,35,3.7
2023-10-07T04:23:00Z,18,0.32,11.13,0.54,36,3.92
2023-10-07T05:23:00Z,18,0.3,10.23,0.54,35,4.04
2023-10-07T06:23:00Z,18,0.32,9.48,0.55,36,3.57
2023-10-07T07:23:00Z,18,0.33,9.48,0.58,37,3.58
2023-10-07T08:23:00Z,18,0.37,8,0.62,35,3.5
2023-10-07T09:23:00Z,18,0.38,9.48,0.7,40,3.61
2023-10-07T10:23:00Z,18,0.37,10.66,0.61,36,3.46
2023-10-07T11:23:00Z,21,0.39,10.23,0.69,36,3.38
2023-10-07T12:23:00Z,22,0.48,3.6,0.84,37,3.37
2023-10-07T13:23:00Z,23,0.49,3.41,0.87,37,3.23
2023-10-07T14:23:00Z,25,0.47,3.41,0.83,36,3.34
2023-10-07T15:23:00Z,24,0.56,3.71,1.02,34,3.34
2023-10-07T16:23:00Z,22,0.57,4,1.05,34,3.26
2023-10-07T17:23:00Z,22,0.64,4.19,1.12,37,3.35
2023-10-07T18:23:00Z,21,0.69,4.12,1.16,37,3.37
2023-10-07T19:23:00Z,23,0.68,4.33,1.26,41,3.47
2023-10-07T20:23:00Z,21,0.76,4.33,1.25,42,3.6
2023-10-07T21:23:00Z,20,0.79,5.68,1.48,36,3.7
2023-10-07T22:23:00Z,19,0.9,5.68,1.42,36,3.84
2023-10-07T23:23:00Z,19,0.95,5.44,1.58,34,3.92
2023-10-08T00:23:00Z,20,1.1,6.24,1.92,37,3.92
2023-10-08T01:23:00Z,20,1.07,6.4,1.77,35,4.11
2023-10-08T02:23:00Z,19,1.08,6.4,1.86,35,3.99
2023-10-08T03:23:00Z,19,1.06,6.09,1.71,34,3.86
2023-10-08T04:23:00Z,19,1.2,6.91,2.05,34,4.12
2023-10-08T05:23:00Z,19,1.3,6.91,2.15,35,4.38
2023-10-08T06:23:00Z,19,1.33,8.82,2.32,35,4.27
2023-10-08T07:23:00Z,19,1.29,9.14,2.37,35,4.31
2023-10-08T08:23:00Z,19,1.4,7.52,2.31,35,4.71
2023-10-08T09:23:00Z,19,1.47,7.31,2.32,34,4.94
2023-10-08T10:23:00Z,19,1.39,8.53,2.25,34,4.97
2023-10-08T11:23:00Z,19,1.44,8,2.47,35,4.85
2023-10-08T12:23:00Z,19,1.34,8.25,2.28,34,4.78
2023-10-08T13:23:00Z,20,1.42,8.25,2.53,34,5.1
2023-10-08T14:23:00Z,22,1.29,8.53,2.08,34,5.51
2023-10-08T15:23:00Z,23,1.2,8.82,2.07,34,5.62
2023-10-08T16:23:00Z,24,1.12,12.8,1.8,34,5.44
2023-10-08T17:23:00Z,25,1.08,11.13,1.76,34,5.56
2023-10-08T18:23:00Z,25,1.09,9.84,1.71,34,5.53
2023-10-08T19:23:00Z,25,1.13,11.63,2.01,33,5.49
2023-10-08T20:23:00Z,24,1.11,12.8,1.88,34,5.8
2023-10-08T21:23:00Z,21,0.96,12.19,1.59,34,5.51
2023-10-08T22:23:00Z,17,0.94,12.8,1.67,33,5.45
2023-10-08T23:23:00Z,16,0.85,9.84,1.45,34,5.44
2023-10-09T00:23:00Z,15,0.83,13.47,1.44,34,5.42
2023-10-09T01:23:00Z,15,0.75,12.19,1.33,35,5.12
2023-10-09T02:23:00Z,14,0.78,12.8,1.34,34,5.6
2023-10-09T03:23:00Z,14,0.73,12.19,1.29,34,5.36
2023-10-09T04:23:00Z,13,0.79,11.13,1.36,34,5.46
2023-10-09T05:23:00Z,13,0.82,12.19,1.3,34,5.55
2023-10-09T06:23:00Z,13,0.81,10.23,1.29,34,5.52
2023-10-09T07:23:00Z,14,0.77,10.23,1.32,34,5.14
2023-10-09T08:23:00Z,14,0.77,8.53,1.34,34,5.05
2023-10-09T09:23:00Z,14,0.82,8.82,1.24,34,5.34
2023-10-09T10:23:00Z,14,0.8,10.23,1.32,34,5.3
2023-10-09T11:23:00Z,17,0.74,9.48,1.22,34,5.43
2023-10-09T12:23:00Z,21,0.75,11.13,1.3,34,5.48
2023-10-09T13:23:00Z,22,0.67,9.84,1.11,34,4.78
2023-10-09T14:23:00Z,22,0.65,11.13,1.07,33,4.43
2023-10-09T15:23:00Z,24,0.65,9.84,1.12,34,4.29
2023-10-09T16:23:00Z,26,0.64,9.84,1.08,34,4.55
2023-10-09T17:23:00Z,26,0.6,10.23,1.08,34,4.14
2023-10-09T18:23:00Z,25,0.63,10.66,1.06,34,4.61
2023-10-09T19:23:00Z,21,0.64,9.84,1.09,34,4.45
2023-10-09T20:23:00Z,19,0.57,9.48,0.95,36,4.76
2023-10-09T21:23:00Z,18,0.6,9.84,1.05,35,4.66
2023-10-09T22:23:00Z,18,0.67,10.23,1.19,34,3.76
2023-10-09T23:23:00Z,16,0.7,9.84,1.17,35,3.69
2023-10-10T00:23:00Z,17,0.79,9.84,1.41,35,3.45
2023-10-10T01:23:00Z,17,1.05,4.26,1.85,38,3.54
2023-10-10T02:23:00Z,18,1.28,5.01,2.16,41,3.84
2023-10-10T03:23:00Z,18,1.24,5.22,2.11,43,3.83
2023-10-10T04:23:00Z,18,0.95,5.11,1.67,42,3.79
2023-10-10T05:23:00Z,18,0.85,5.33,1.52,36,3.71
2023-10-10T06:23:00Z,18,0.75,5.11,1.3,44,3.79
2023-10-10T07:23:00Z,17,0.71,5.33,1.31,40,3.86
2023-10-10T08:23:00Z,16,0.59,9.14,0.94,35,4.07
2023-10-10T09:23:00Z,15,0.61,5.01,1.1,44,4.47
2023-10-10T10:23:00Z,14,0.54,5.01,0.97,40,4.63
2023-10-10T11:23:00Z,16,0.54,5.68,0.93,35,4.37
2023-10-10T12:23:00Z,19,0.45,5.56,0.76,38,4.96
2023-10-10T13:23:00Z,21,0.45,5.81,0.79,38,5.07
2023-10-10T14:23:00Z,24,0.44,8.53,0.82,35,5.09
2023-10-10T15:23:00Z,25,0.44,6.09,0.7,35,5.45
2023-10-10T16:23:00Z,26,0.38,5.81,0.66,39,5.43
2023-10-10T17:23:00Z,26,0.37,6.56,0.57,36,5.33
2023-10-10T18:23:00Z,26,0.39,6.09,0.61,36,5.07
2023-10-10T19:23:00Z,22,0.34,8.53,0.54,34,5.23
2023-10-10T20:23:00Z,20,0.33,7.52,0.52,35,5.05
2023-10-10T21:23:00Z,18,0.4,7.52,0.68,38,3.65
2023-10-10T22:23:00Z,16,0.32,8,0.52,36,4.23
2023-10-10T23:23:00Z,16,0.31,8,0.53,37,4.72
2023-10-11T00:23:00Z,15,0.3,6.91,0.48,35,4.49
2023-10-11T01:23:00Z,15,0.29,6.73,0.46,35,5.04
2023-10-11T02:23:00Z,14,0.24,6.73,0.41,36,4.65
2023-10-11T03:23:00Z,14,0.23,12.8,0.37,38,5.19
2023-10-11T04:23:00Z,14,0.26,8,0.47,36,4.68
2023-10-11T05:23:00Z,13,0.26,12.8,0.45,34,4.83
2023-10-11T06:23:00Z,13,0.23,12.8,0.4,34,5.08
2023-10-11T07:23:00Z,13,0.25,8.82,0.48,36,4.65
2023-10-11T08:23:00Z,14,0.26,8,0.5,36,4.36
2023-10-11T09:23:00Z,15,0.28,11.63,0.51,36,4.14
2023-10-11T10:23:00Z,15,0.35,8.82,0.61,35,3.59
2023-10-11T11:23:00Z,16,0.53,2.61,0.88,35,3.1
2023-10-11T12:23:00Z,18,0.5,2.81,0.9,35,3.19
2023-10-11T13:23:00Z,19,0.44,3.04,0.79,36,3.41
2023-10-11T14:23:00Z,21,0.45,2.48,0.71,35,3.29
2023-10-11T15:23:00Z,20,0.45,2.94,0.84,36,3.28
2023-10-11T16:23:00Z,20,0.51,2.53,0.83,35,3.23
2023-10-11T17:23:00Z,16,0.62,3.93,1.03,39,3.16
2023-10-11T18:23:00Z,19,0.69,3.6,1.31,39,3.23
2023-10-11T19:23:00Z,19,0.74,4.33,1.29,38,3.36
2023-10-11T20:23:00Z,19,0.77,4.41,1.35,38,3.43
2023-10-11T21:23:00Z,19,0.7,5.01,1.26,41,3.39
2023-10-11T22:23:00Z,18,0.68,4.92,1.12,39,3.74
2023-10-11T23:23:00Z,18,0.61,4.57,1.12,45,3.9
2023-10-12T00:23:00Z,17,0.6,5.01,1.05,41,4.11
2023-10-12T01:23:00Z,17,0.52,5.44,0.88,39,4.02
2023-10-12T02:23:00Z,16,0.6,6.24,0.96,36,4.75
2023-10-12T03:23:00Z,16,0.64,6.24,1.13,35,4.91
2023-10-12T04:23:00Z,16,0.6,6.4,1.02,34,4.81
2023-10-12T05:23:00Z,15,0.62,5.95,0.98,36,4.78
2023-10-12T06:23:00Z,15,0.55,6.56,0.89,34,4.89
2023-10-12T07:23:00Z,14,0.55,5.44,0.91,38,4.76
2023-10-12T08:23:00Z,14,0.59,6.56,1.04,35,4.87
2023-10-12T10:23:00Z,14,0.66,6.91,1.12,34,5.17
2023-10-12T11:23:00Z,14,0.58,6.4,1.02,35,5.08
2023-10-12T12:23:00Z,16,0.48,6.73,0.8,36,4.88
2023-10-12T13:23:00Z,19,0.44,6.4,0.77,37,4.91
2023-10-12T14:23:00Z,24,0.45,6.56,0.88,36,5.13
2023-10-12T15:23:00Z,28,0.43,6.91,0.73,34,5.18
2023-10-12T16:23:00Z,26,0.4,6.24,0.67,35,4.98
2023-10-12T17:23:00Z,24,0.42,5.81,0.7,37,4.87
2023-10-12T18:23:00Z,25,0.42,6.73,0.69,35,4.06
2023-10-12T19:23:00Z,25,0.38,5.95,0.65,36,4.23
2023-10-12T20:23:00Z,22,0.37,6.4,0.58,36,4.5
2023-10-12T21:23:00Z,18,0.36,6.73,0.58,36,4.55
2023-10-12T22:23:00Z,17,0.39,5.95,0.66,39,4.68
2023-10-12T23:23:00Z,16,0.36,6.24,0.64,35,4.48
2023-10-13T00:23:00Z,17,0.38,5.95,0.62,36,4.28
2023-10-13T01:23:00Z,16,0.34,6.4,0.63,35,4.34
2023-10-13T02:23:00Z,16,0.36,6.09,0.61,36,4.28
2023-10-13T03:23:00Z,16,0.35,5.22,0.59,36,4.44
2023-10-13T04:23:00Z,16,0.34,5.68,0.58,37,4.4
2023-10-13T05:23:00Z,16,0.34,5.33,0.6,41,4.57
2023-10-13T06:23:00Z,16,0.31,5.95,0.51,37,4.09
2023-10-13T07:23:00Z,15,0.29,5.44,0.49,40,4.77
2023-10-13T08:23:00Z,15,0.31,10.66,0.59,35,4.14
2023-10-13T09:23:00Z,15,0.29,10.23,0.49,34,4.88
2023-10-13T10:23:00Z,15,0.3,6.09,0.53,37,4.19
2023-10-13T11:23:00Z,17,0.3,9.48,0.55,37,4.56
2023-10-13T12:23:00Z,16,0.29,8.53,0.52,35,4.69
2023-10-13T13:23:00Z,14,0.26,8.82,0.45,36,4.58
2023-10-13T14:23:00Z,15,0.26,5.11,0.44,38,4.73
2023-10-13T15:23:00Z,24,0.23,6.24,0.42,36,4.63
2023-10-13T16:23:00Z,20,0.24,8.82,0.44,36,4.79
2023-10-13T17:23:00Z,17,0.21,7.31,0.38,36,4.82
2023-10-13T18:23:00Z,14,0.23,10.23,0.36,38,4.95
2023-10-13T19:23:00Z,14,0.25,9.84,0.43,40,4.66
2023-10-13T20:23:00Z,14,0.22,8.25,0.34,36,4.6
2023-10-13T21:23:00Z,13,0.24,8.25,0.4,39,4.92
2023-10-13T22:23:00Z,12,0.22,8.53,0.41,38,4.83
2023-10-13T23:23:00Z,12,0.22,7.11,0.36,36,5.09
2023-10-14T00:23:00Z,12,0.23,6.73,0.38,37,5.07
2023-10-14T01:23:00Z,12,0.2,8,0.36,36,5.41
2023-10-14T02:23:00Z,12,0.23,16,0.34,45,3.96
2023-10-14T03:23:00Z,12,0.21,15.05,0.34,39,5.43
2023-10-14T04:23:00Z,13,0.2,16,0.33,42,5.31
2023-10-14T05:23:00Z,12,0.16,14.22,0.26,42,5.41
2023-10-14T06:23:00Z,13,0.19,12.8,0.31,37,5.08
2023-10-14T07:23:00Z,14,0.19,16,0.34,44,5.02
2023-10-14T08:23:00Z,14,0.18,16,0.3,38,4.49
2023-10-14T09:23:00Z,14,0.2,8.25,0.36,37,3.93
2023-10-14T10:23:00Z,14,0.16,16,0.28,42,3.88
2023-10-14T11:23:00Z,15,0.2,17.06,0.35,40,3.97
2023-10-14T12:23:00Z,16,0.25,16,0.5,42,3.14
2023-10-14T13:23:00Z,19,0.24,16,0.43,40,3.28
2023-10-14T14:23:00Z,20,0.22,2.16,0.4,36,2.72
2023-10-14T15:23:00Z,21,0.25,2.28,0.45,38,2.68
2023-10-14T16:23:00Z,22,0.31,14.22,0.52,37,3.52
2023-10-14T17:23:00Z,20,0.19,15.05,0.34,45,3.7
2023-10-14T18:23:00Z,19,0.19,14.22,0.33,43,3.49
2023-10-14T19:23:00Z,19,0.18,15.05,0.31,36,4.14
2023-10-14T20:23:00Z,17,0.17,15.05,0.31,43,3.56
2023-10-14T21:23:00Z,16,0.16,16,0.26,45,4.71
2023-10-14T22:23:00Z,15,0.23,3.24,0.42,37,3.77
2023-10-14T23:23:00Z,14,0.13,17.06,0.23,42,4.37
2023-10-15T00:23:00Z,14,0.17,18.28,0.3,42,5.28
2023-10-15T01:23:00Z,14,0.15,13.47,0.27,42,4.9
2023-10-15T02:23:00Z,14,0.16,16,0.27,44,4.65
2023-10-15T03:23:00Z,14,0.16,12.19,0.28,41,4.48
2023-10-15T04:23:00Z,14,0,16,0,33,11.78
2023-10-15T05:23:00Z,13,0.15,11.63,0.28,40,4.1
2023-10-15T06:23:00Z,13,0.17,13.47,0.28,40,4
2023-10-15T07:23:00Z,12,0.17,16,0.3,44,4.04
2023-10-15T08:23:00Z,12,0.22,2.46,0.38,38,3.37
